Frequency,Channel,BSS,minsnr,maxsnr,NF,Ch_load,spect_load,sec_chan,SR_bss,SR_load,Ch_avil,Chan_eff,NearBSS,Med_BSS,Far_BSS,Eff_BSS,grade,Rank,Unused,Radar
2412,1,32,31,86,-43,99,0,0,0,0,100,0,27,5,0,0,100,0,0,0
2417,2,0,0,0,-87,92,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2422,3,0,0,0,-87,91,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2427,4,0,0,0,-78,87,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2432,5,1,55,55,-66,46,0,1,0,0,100,0,0,1,0,0,100,0,0,0
2437,6,2,35,37,-86,39,0,0,0,0,100,0,0,2,0,0,100,0,0,0
2442,7,5,23,36,-89,42,0,1,0,0,100,0,0,2,3,0,100,0,0,0
2447,8,0,0,0,-85,28,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2452,9,1,23,23,-87,38,0,0,0,0,100,0,0,0,1,0,100,0,0,0
2457,10,0,0,0,-78,69,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2462,11,8,37,76,-86,66,0,0,0,0,100,0,2,6,0,0,100,0,0,0
2412,1,34,24,85,-88,91,0,0,0,0,100,0,26,7,1,0,100,0,0,0
2417,2,0,0,0,-43,72,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2422,3,0,0,0,-86,87,0,1,0,0,100,0,0,0,0,0,100,0,0,0
2427,4,0,0,0,-81,76,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2432,5,1,55,55,-70,26,0,1,0,0,100,0,0,1,0,0,100,0,0,0
2437,6,1,34,34,-89,17,0,0,0,0,100,0,0,1,0,0,100,0,0,0
2442,7,5,15,36,-81,35,0,1,0,0,100,0,0,1,4,0,100,0,0,0
2447,8,0,0,0,-98,25,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2452,9,1,23,23,-96,35,0,0,0,0,100,0,0,0,1,0,100,0,0,0
2457,10,0,0,0,-83,54,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2462,11,12,22,75,-87,57,0,0,0,0,100,0,3,8,1,0,100,0,0,0
2412,1,33,25,85,0,84,0,0,0,0,100,0,26,5,2,0,100,0,0,0
2417,2,0,0,0,-81,96,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2422,3,1,30,30,-87,89,0,0,0,0,100,0,0,0,1,0,100,0,0,0
2427,4,1,29,29,-86,68,0,0,0,0,100,0,0,0,1,0,100,0,0,0
2432,5,1,58,58,-80,33,0,1,0,0,100,0,0,1,0,0,100,0,0,0
2437,6,1,45,45,-75,30,0,0,0,0,100,0,0,1,0,0,100,0,0,0
2442,7,4,24,28,-86,30,0,1,0,0,100,0,0,0,4,0,100,0,0,0
2447,8,1,23,23,-80,28,0,0,0,0,100,0,0,0,1,0,100,0,0,0
2452,9,1,29,29,-88,29,0,0,0,0,100,0,0,0,1,0,100,0,0,0
2457,10,0,0,0,-85,56,0,0,0,0,100,0,0,0,0,0,100,0,0,0
2462,11,8,37,76,-86,57,0,0,0,0,100,0,3,5,0,0,100,0,0,0
