Frequency,Channel,BSS,minsnr,maxsnr,NF,Ch_load,spect_load,sec_chan,SR_bss,SR_load,Ch_avil,Chan_eff,NearBSS,Med_BSS,Far_BSS,Eff_BSS,grade,Rank,Unused,Radar,Interference
2412,1,32,31,86,-43,99,0,0,0,0,100,0,27,5,0,0,100,0,0,0,3.193548284079087
2417,2,0,0,0,-87,92,0,0,0,0,100,0,0,0,0,0,100,0,0,0,92000000.0
2422,3,0,0,0,-87,91,0,0,0,0,100,0,0,0,0,0,100,0,0,0,91000000.0
2427,4,0,0,0,-78,87,0,0,0,0,100,0,0,0,0,0,100,0,0,0,87000000.0
2432,5,1,55,55,-66,46,0,1,0,0,100,0,0,1,0,0,100,0,0,0,0.8363636211570251
2437,6,2,35,37,-86,39,0,0,0,0,100,0,0,2,0,0,100,0,0,0,1.1142856824489806
2442,7,5,23,36,-89,42,0,1,0,0,100,0,0,2,3,0,100,0,0,0,1.8260868771266576
2447,8,0,0,0,-85,28,0,0,0,0,100,0,0,0,0,0,100,0,0,0,28000000.0
2452,9,1,23,23,-87,38,0,0,0,0,100,0,0,0,1,0,100,0,0,0,1.652173841209833
2457,10,0,0,0,-78,69,0,0,0,0,100,0,0,0,0,0,100,0,0,0,69000000.0
2462,11,8,37,76,-86,66,0,0,0,0,100,0,2,6,0,0,100,0,0,0,1.7837837355734125
2412,1,34,24,85,-88,91,0,0,0,0,100,0,26,7,1,0,100,0,0,0,3.791666508680562
2417,2,0,0,0,-43,72,0,0,0,0,100,0,0,0,0,0,100,0,0,0,72000000.0
2422,3,0,0,0,-86,87,0,1,0,0,100,0,0,0,0,0,100,0,0,0,87000000.0
2427,4,0,0,0,-81,76,0,0,0,0,100,0,0,0,0,0,100,0,0,0,76000000.0
2432,5,1,55,55,-70,26,0,1,0,0,100,0,0,1,0,0,100,0,0,0,0.47272726413223154
2437,6,1,34,34,-89,17,0,0,0,0,100,0,0,1,0,0,100,0,0,0,0.49999998529411815
2442,7,5,15,36,-81,35,0,1,0,0,100,0,0,1,4,0,100,0,0,0,2.333333177777788
2447,8,0,0,0,-98,25,0,0,0,0,100,0,0,0,0,0,100,0,0,0,25000000.0
2452,9,1,23,23,-96,35,0,0,0,0,100,0,0,0,1,0,100,0,0,0,1.5217390642722146
2457,10,0,0,0,-83,54,0,0,0,0,100,0,0,0,0,0,100,0,0,0,54000000.0
2462,11,12,22,75,-87,57,0,0,0,0,100,0,3,8,1,0,100,0,0,0,2.5909089731405013
2412,1,33,25,85,0,84,0,0,0,0,100,0,26,5,2,0,100,0,0,0,3.359999865600005
2417,2,0,0,0,-81,96,0,0,0,0,100,0,0,0,0,0,100,0,0,0,96000000.0
2422,3,1,30,30,-87,89,0,0,0,0,100,0,0,0,1,0,100,0,0,0,2.966666567777781
2427,4,1,29,29,-86,68,0,0,0,0,100,0,0,0,1,0,100,0,0,0,2.344827505350776
2432,5,1,58,58,-80,33,0,1,0,0,100,0,0,1,0,0,100,0,0,0,0.5689655074316292
2437,6,1,45,45,-75,30,0,0,0,0,100,0,0,1,0,0,100,0,0,0,0.6666666518518523
2442,7,4,24,28,-86,30,0,1,0,0,100,0,0,0,4,0,100,0,0,0,1.2499999479166688
2447,8,1,23,23,-80,28,0,0,0,0,100,0,0,0,1,0,100,0,0,0,1.2173912514177716
2452,9,1,29,29,-88,29,0,0,0,0,100,0,0,0,1,0,100,0,0,0,0.9999999655172426
2457,10,0,0,0,-85,56,0,0,0,0,100,0,0,0,0,0,100,0,0,0,56000000.0
2462,11,8,37,76,-86,57,0,0,0,0,100,0,3,5,0,0,100,0,0,0,1.5405404989043108
2412,1,32,30,87,-80,99,0,0,0,0,100,0,26,5,1,0,100,0,0,0,3.299999890000003
2417,2,0,0,0,-89,88,0,0,0,0,100,0,0,0,0,0,100,0,0,0,88000000.0
2422,3,0,0,0,-52,87,0,0,0,0,100,0,0,0,0,0,100,0,0,0,87000000.0
2427,4,1,30,30,-87,94,0,0,0,0,100,0,0,0,1,0,100,0,0,0,3.1333332288888918
2432,5,1,55,55,-83,32,0,1,0,0,100,0,0,1,0,0,100,0,0,0,0.5818181712396696
2437,6,1,34,34,-81,28,0,0,0,0,100,0,0,1,0,0,100,0,0,0,0.8235293875432534
2442,7,3,36,37,-85,33,0,1,0,0,100,0,0,3,0,0,100,0,0,0,0.9166666412037046
2447,8,0,0,0,-80,56,0,1,0,0,100,0,0,0,0,0,100,0,0,0,56000000.0
2452,9,0,0,0,-75,64,0,0,0,0,100,0,0,0,0,0,100,0,0,0,64000000.0
2457,10,0,0,0,-87,57,0,0,0,0,100,0,0,0,0,0,100,0,0,0,57000000.0
2462,11,9,37,78,-82,73,0,0,0,0,100,0,3,6,0,0,100,0,0,0,1.9729729196493806
