Frequency,RSSI,SNR,Channel,BSS,NF,Ch_load,Interference,Predicted Interference
2412,-25.0,47.0,1.0,26,-72,108.65384615384616,60.1063829787234,62.163364
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-14.0,58.0,1.0,26,-72,108.65384615384616,48.706896551724135,46.6734
2412,-18.0,54.0,1.0,26,-72,108.65384615384616,52.31481481481482,50.027245
2412,-18.0,54.0,1.0,26,-72,108.65384615384616,52.31481481481482,50.027245
2412,-23.0,49.0,1.0,26,-72,108.65384615384616,57.6530612244898,57.799465
2412,-28.0,44.0,1.0,26,-72,108.65384615384616,64.20454545454545,69.54245
2412,-64.0,8.0,1.0,26,-72,108.65384615384616,353.125,204.88779
2412,-23.0,49.0,1.0,26,-72,108.65384615384616,57.6530612244898,57.799465
2412,-23.0,49.0,1.0,26,-72,108.65384615384616,57.6530612244898,57.799465
2412,-14.0,58.0,1.0,26,-72,108.65384615384616,48.706896551724135,46.6734
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-14.0,58.0,1.0,26,-72,108.65384615384616,48.706896551724135,46.6734
2412,-13.0,59.0,1.0,26,-72,108.65384615384616,47.88135593220339,45.936226
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-16.0,56.0,1.0,26,-72,108.65384615384616,50.44642857142857,48.180237
2412,-17.0,55.0,1.0,26,-72,108.65384615384616,51.36363636363637,49.103737
2412,-60.0,12.0,1.0,26,-72,108.65384615384616,235.41666666666663,188.28981
