SSID,Frequency (MHz),Signal Strength (dBm),Beacon Interval (TUs),Channel Width (MHz),HT Capabilities,MCS Supported,VHT Capabilities
REG-WDS-2G,2412.0,-15.0,100,20,0x19ef,0-31,0x338b7992
3link_mlo,2412.0,-27.0,100,20,0x19ef,0-15,0x33897992
rdkb_alder,2412.0,-21.0,100,0,0x19ef,0-15,0x33897992
rdkb_alder14,2412.0,-22.0,100,0,0x19ef,0-15,0x33897992
rdkb_alder,2412.0,-14.0,100,0,0x19ef,0-31,0x338b7992
rdkb_alder,2412.0,-22.0,100,0,0x19ef,0-15,0x33897992
rdkb_alder14,2412.0,-19.0,100,0,0x19ef,0-15,0x33897992
rdkb_alder,2412.0,-20.0,100,0,0x19ef,0-31,0x338b7992
rdkb_alder,2412.0,-18.0,100,20,0x19ef,0-31,0x338b7992
rdkb_alder14,2412.0,-18.0,100,20,0x19ef,0-31,0x338b7992
rdkb_alder,2412.0,-9.0,100,20,0x19ef,0-31,0x338b7992
rdkb_alder14,2412.0,-7.0,100,20,0x19ef,0-31,0x338b7992
PRPLMESH-BH_2G,2412.0,-58.0,100,20,0x9ad,0-31,0
rdkb_alder14,2412.0,-17.0,100,20,0x19ef,0-31,0x338b7992
rdkb_alder14,2412.0,-14.0,100,0,0x19ef,0-31,0x338b7992
rdkb_alder,2412.0,-19.0,100,20,0x19ef,0-31,0x338b7992
rdkb_alder14,2412.0,-19.0,100,20,0x19ef,0-31,0x338b7992
rdkb_alder,2412.0,-20.0,100,0,0x19ef,0-15,0x33897992
rdkb_alder,2412.0,-12.0,100,0,0x19ef,0-15,0x33897992
rdkb_alder14,2412.0,-15.0,100,0,0x19ef,0-15,0x33897992
rdkb_alder,2412.0,-13.0,100,20,0x19ef,0-31,0x338b7992
rdkb_alder14,2412.0,-14.0,100,20,0x19ef,0-31,0x338b7992
PRPLMESH-FH_2G,2412.0,-56.0,100,20,0x9ad,0-31,0
rdkb_alder14,2412.0,-25.0,100,20,0x19ef,0-15,0x33897992
prplos_2g,2412.0,-29.0,100,20,0x9ad,0-31,0
rdkb_alder14,2412.0,-37.0,100,0,0x19ef,0-15,0x33897992
rdkb_alder14,2412.0,-22.0,100,0,0x19ef,0-31,0x338b7992
PRPLMESH-FH_2G,2412.0,-49.0,100,20,0x9ad,0-31,0
PRPLMESH-FH_2G,2412.0,-53.0,100,20,0x9ad,0-31,0
Airtel_3729,2412.0,-65.0,100,0,0x11ee,0,0
OpenWrt,2412.0,-58.0,100,0,0x19ef,0-15,0
VAP_SSID,2412.0,-59.0,100,0,0x19ef,0-15,0
rdkb_alder16,6275.0,-39.0,100,0,0,0,0
